tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
406,2020-02-01 10:07:38.4980,2020-02-01 10:14:25.4170,3187,Warren St,40.7211236,-74.03805095,3199,Newport Pkwy,40.7287448,-74.0321082,26238,Subscriber,1981,1
271,2020-02-01 10:08:25.1150,2020-02-01 10:12:56.2730,3270,Jersey & 6th St,40.72528910781130,-74.04557168483730,3279,Dixon Mills,40.721630142638400,-74.04996782541280,29610,Subscriber,1987,2
128,2020-02-01 10:08:31.1710,2020-02-01 10:10:39.3020,3269,Brunswick & 6th,40.72601172964630,-74.05038893222810,3279,Dixon Mills,40.721630142638400,-74.04996782541280,42188,Subscriber,1987,1
342,2020-02-01 10:08:49.4020,2020-02-01 10:14:32.3620,3280,Astor Place,40.71928220070700,-74.07126188278200,3195,Sip Ave,40.73089709786180,-74.06391263008120,42199,Subscriber,1988,1
135,2020-02-01 10:09:18.1250,2020-02-01 10:11:33.7300,3639,Harborside,40.7192517,-74.034234,3275,Columbus Drive,40.71835519823210,-74.03891444206240,29494,Subscriber,1972,1
256,2020-02-01 10:09:20.9670,2020-02-01 10:13:37.7040,3203,Hamilton Park,40.727595966,-74.044247311,3211,Newark Ave,40.72152515,-74.046304543,42256,Subscriber,1988,1
422,2020-02-01 10:10:40.8140,2020-02-01 10:17:43.2560,3483,Montgomery St,40.71942,-74.05099,3184,Paulus Hook,40.7141454,-74.0335519,42311,Subscriber,1969,1
311,2020-02-01 10:14:47.5610,2020-02-01 10:19:58.9570,3205,JC Medical Center,40.71653978099190,-74.0496379137039,3203,Hamilton Park,40.727595966,-74.044247311,29198,Subscriber,1993,1
686,2020-02-01 10:15:32.1360,2020-02-01 10:26:58.9670,3278,Monmouth and 6th,40.72568548362900,-74.04879033565520,3220,5 Corners Library,40.734961020009500,-74.0595030784607,42197,Subscriber,1989,2
216,2020-02-01 10:16:10.6060,2020-02-01 10:19:47.5480,3195,Sip Ave,40.73089709786180,-74.06391263008120,3194,McGinley Square,40.7253399253558,-74.06762212514880,42279,Subscriber,1978,2
297,2020-02-01 10:16:21.8160,2020-02-01 10:21:19.2880,3211,Newark Ave,40.72152515,-74.046304543,3203,Hamilton Park,40.727595966,-74.044247311,42256,Subscriber,1988,1
268,2020-02-01 10:16:43.9580,2020-02-01 10:21:12.0320,3279,Dixon Mills,40.721630142638400,-74.04996782541280,3186,Grove St PATH,40.71958611647170,-74.04311746358870,42188,Subscriber,1968,2
1485,2020-02-01 10:17:33.9980,2020-02-01 10:42:19.5320,3185,City Hall,40.7177325,-74.043845,3638,Washington St,40.7242941,-74.0354826,29510,Customer,1969,0
430,2020-02-01 10:17:48.5560,2020-02-01 10:24:58.6490,3268,Lafayette Park,40.71346382669200,-74.06285852193830,3185,City Hall,40.7177325,-74.043845,42204,Customer,1991,1
257,2020-02-01 10:18:12.8980,2020-02-01 10:22:30.2380,3639,Harborside,40.7192517,-74.034234,3202,Newport PATH,40.7272235,-74.0337589,42150,Subscriber,1994,1
269,2020-02-01 10:18:18.9100,2020-02-01 10:22:48.3690,3205,JC Medical Center,40.71653978099190,-74.0496379137039,3681,Grand St,40.71517767732030,-74.03768330812450,42260,Subscriber,1964,2
229,2020-02-01 10:20:00.5590,2020-02-01 10:23:50.2960,3272,Jersey & 3rd,40.72333158646440,-74.04595255851740,3278,Monmouth and 6th,40.72568548362900,-74.04879033565520,42367,Subscriber,1991,1
214,2020-02-01 10:26:21.2460,2020-02-01 10:29:55.4880,3186,Grove St PATH,40.71958611647170,-74.04311746358870,3203,Hamilton Park,40.727595966,-74.044247311,42184,Subscriber,1969,0
494,2020-02-01 10:26:58.7610,2020-02-01 10:35:13.1690,3279,Dixon Mills,40.721630142638400,-74.04996782541280,3681,Grand St,40.71517767732030,-74.03768330812450,26233,Subscriber,1981,1
458,2020-02-01 10:27:08.5750,2020-02-01 10:34:47.0110,3194,McGinley Square,40.7253399253558,-74.06762212514880,3185,City Hall,40.7177325,-74.043845,42115,Subscriber,1988,1
379,2020-02-01 10:27:36.4160,2020-02-01 10:33:56.1920,3186,Grove St PATH,40.71958611647170,-74.04311746358870,3203,Hamilton Park,40.727595966,-74.044247311,29484,Subscriber,1992,2
438,2020-02-01 10:27:40.4880,2020-02-01 10:34:58.8910,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,29665,Subscriber,1987,1
156,2020-02-01 10:29:00.3690,2020-02-01 10:31:36.8370,3272,Jersey & 3rd,40.72333158646440,-74.04595255851740,3186,Grove St PATH,40.71958611647170,-74.04311746358870,29233,Subscriber,1952,1
229,2020-02-01 10:29:40.3190,2020-02-01 10:33:29.3920,3185,City Hall,40.7177325,-74.043845,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42235,Subscriber,1965,1
348,2020-02-01 10:30:51.4700,2020-02-01 10:36:39.5190,3275,Columbus Drive,40.71835519823210,-74.03891444206240,3211,Newark Ave,40.72152515,-74.046304543,29251,Subscriber,1986,1
114,2020-02-01 10:31:12.3800,2020-02-01 10:33:07.3010,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,42150,Subscriber,1995,1
290,2020-02-01 10:31:24.6160,2020-02-01 10:36:15.2430,3267,Morris Canal,40.7124188237569,-74.03852552175520,3639,Harborside,40.7192517,-74.034234,29677,Subscriber,1984,2
251,2020-02-01 10:31:36.1310,2020-02-01 10:35:47.2450,3272,Jersey & 3rd,40.72333158646440,-74.04595255851740,3187,Warren St,40.7211236,-74.03805095,29225,Subscriber,1983,1
